model,fold,rmse,mae,r2,mape,peak_accuracy,peak_precision,peak_recall,peak_f1,train_time_seconds
Ridge Linear Regression GD,1,664.3560446319394,262.0910100081458,-18.802200865683158,97.83852228805038,0.8543647363872083,0.9764903442485299,0.7900815217391299,0.8734509951177926,0.12571079999906942
Ridge Linear Regression GD,2,141.00385963599115,82.21657917458325,0.07765988595498141,61.614308615476446,0.8323249783923942,0.8620689655172402,0.6959314775160592,0.7701421800942914,0.248033799987752
Ridge Linear Regression GD,3,83.80580138544471,50.57397874320955,0.49557200607392626,78.40670995105361,0.888504753673293,0.8005780346820786,0.5944206008583678,0.6822660098517259,0.4619992000225466
Ridge Linear Regression GD,4,550.884952573928,183.00651470721573,-7.7115360896747305,104.45827921674002,0.8694900605012964,0.9085213032581442,0.7599580712788252,0.8276255707757586,0.6935955000226386
Ridge Linear Regression GD,5,675.5397883871672,287.15536577235457,-8.69927353491057,89.91365702687429,0.8694900605012964,0.9085418464193263,0.8430744595676535,0.8745847176074735,0.8318881000159308
KNN Regression,1,107.74457012300284,72.0673952392242,0.4791622363765353,51.978081696413945,0.8794295592048401,0.9783480352846825,0.8288043478260865,0.8973887458619522,7.90000194683671e-06
KNN Regression,2,75.22938892464107,49.327137743557984,0.737454750631438,59.32428896894682,0.8621434745030251,0.8858218318695096,0.7558886509635966,0.8157134604270007,1.0199990356341004e-05
KNN Regression,3,74.52850113472262,47.68189028702266,0.6010708351109307,80.46419790659026,0.8764044943820225,0.8214285714285684,0.4935622317596556,0.6166219839137383,7.099995855242014e-06
KNN Regression,4,103.50190471068528,65.45125367094295,0.6924826633514624,63.82471272169574,0.8595505617977528,0.9687034277198197,0.6813417190775674,0.799999999999514,1.0299991117790341e-05
KNN Regression,5,107.56022847262176,69.02899142269536,0.7541100535022152,39.85816084669573,0.867761452031115,0.9636184857423786,0.7846277021617288,0.8649602824355151,8.800008799880743e-06
CART Regression Tree,1,120.0896392150675,79.46901271437264,0.3529724692571816,48.33472085896967,0.7523768366464996,0.9807486631016032,0.6229619565217387,0.7619443290398233,0.20677459999569692
CART Regression Tree,2,63.878028483191834,41.1872227807953,0.8107080681616569,35.48252303034668,0.8751080380293863,0.8986402966625452,0.7783725910064231,0.8341939185307694,0.311610800010385
CART Regression Tree,3,54.46714908607396,33.033200218658344,0.7869309832185621,40.24006509963174,0.9053586862575627,0.7484909456740427,0.7982832618025734,0.7725856697814304,0.3852286000037566
CART Regression Tree,4,95.38110277230537,58.38470043105288,0.7388454485298726,41.668092173846176,0.8720829732065687,0.8680089485458603,0.8134171907756804,0.8398268398263394,0.42595380000420846
CART Regression Tree,5,115.78108623933393,77.5412281284804,0.7150867939085191,34.303442141447896,0.8720829732065687,0.922054915854738,0.8334667734187344,0.8755256518077429,0.4624642999842763
Gradient Boosting Trees,1,134.03363036640917,90.06041503703985,0.19399220561925656,46.234885649327225,0.8582541054451167,0.9798657718120798,0.7934782608695647,0.8768768768763818,1.5198934999934863
Gradient Boosting Trees,2,80.54227618334895,50.613315829442435,0.6990620945536408,39.998331143973324,0.8707865168539326,0.8983688833124204,0.7665952890792282,0.8272674754472201,2.034886200010078
Gradient Boosting Trees,3,54.85025417113306,33.64363168968899,0.7839231189330854,44.78198021012318,0.9036300777873811,0.8239999999999977,0.6630901287553633,0.7348394768128215,2.975217300001532
Gradient Boosting Trees,4,117.78926231220497,67.93280678331178,0.6017238279165564,46.9518958475972,0.8716508210890234,0.9080745341614895,0.7662473794549258,0.8311540648090534,3.434503800002858
Gradient Boosting Trees,5,151.3350665823175,95.92762630309001,0.5132382041865549,37.371138627302244,0.8720829732065687,0.9258266309204639,0.8294635708566848,0.8749999999995007,4.305316299985861
