feature,coefficient_on_log_cnt,abs_coefficient
intercept,4.5013608937024285,4.5013608937024285
cnt_lag_1,0.4929869487514545,0.4929869487514545
hr_cos,-0.49206810401340023,0.49206810401340023
hr_sin,-0.38255760938362887,0.38255760938362887
cnt_lag_24,0.2573375887110386,0.2573375887110386
weathersit_3,-0.11287251386537385,0.11287251386537385
atemp,0.08687366807074932,0.08687366807074932
temp,-0.08661503152035764,0.08661503152035764
cnt_roll_mean_24,0.07906829916304924,0.07906829916304924
hum,0.05227924623350348,0.05227924623350348
mnth_cos,-0.05104076166970684,0.05104076166970684
weathersit_1,0.044557270785444365,0.044557270785444365
weekday_sin,-0.04143782242230262,0.04143782242230262
season_4,0.03774712156524399,0.03774712156524399
season_1,-0.03507845183780261,0.03507845183780261
weathersit_2,0.024202128501851685,0.024202128501851685
season_3,0.01821376253563548,0.01821376253563548
windspeed,-0.017889806881880358,0.017889806881880358
workingday,0.017573791309805045,0.017573791309805045
weekday_cos,0.014109579656114672,0.014109579656114672
season_2,-0.01203102488224144,0.01203102488224144
cnt_roll_std_24,-0.011956535562829667,0.011956535562829667
holiday,0.0015465580960201811,0.0015465580960201811
mnth_sin,0.0014301859777217385,0.0014301859777217385
weathersit_4,-0.001084768089814067,0.001084768089814067
